collapsed,energyFromFishes,energyFromRessources,finalSpecies,finalTime,id,initialBalance,maturAge,maxAge,movingCost,numFishes,numRessources,reproductionCost,ressourceRenewal,speciesBalance
1.0,33.47174969062096,28.76705475199211,0.0,168.0,834,0.7359046629640217,75.79638755719694,166.48622758017666,0.085608541577494,107.24764824907955,175.40522344983378,0.01614778964755953,2.6058993260767775,0.01954629444745415
1.0,33.47174969062096,28.76705475199211,0.0,168.0,834,0.7359046629640217,75.79638755719694,166.48622758017666,0.085608541577494,107.24764824907955,175.40522344983378,0.01614778964755953,2.6058993260767775,0.20387596188564028
1.0,14.089894912301517,19.075040667411635,0.0,778.0,835,0.8331273595902291,80.46774259657047,691.0951693660265,0.018755504436441015,106.27241103485238,75.06408267922679,0.06259826953658137,2.802085136286245,0.97080132899299
1.0,14.089894912301517,19.075040667411635,0.0,693.0,835,0.8331273595902291,80.46774259657047,691.0951693660265,0.018755504436441015,106.27241103485238,75.06408267922679,0.06259826953658137,2.802085136286245,0.9380065383784346
1.0,33.47174969062096,28.76705475199211,0.0,314.0,834,0.7359046629640217,75.79638755719694,166.48622758017666,0.085608541577494,107.24764824907955,175.40522344983378,0.01614778964755953,2.6058993260767775,0.9275901414879052
1.0,35.57674740309056,12.776334718957244,0.0,292.0,833,0.5233928462342695,63.43895711312552,149.08835791741626,0.06903797971271299,10.569538114095991,187.9496793924601,0.07131365948225177,1.5712005537779472,0.9948453608247423
1.0,35.57674740309056,12.776334718957244,0.0,151.0,833,0.5233928462342695,63.43895711312552,149.08835791741626,0.06903797971271299,10.569538114095991,187.9496793924601,0.07131365948225177,1.5712005537779472,0.9893333333333333
1.0,35.57674740309056,12.776334718957244,0.0,151.0,833,0.5233928462342695,63.43895711312552,149.08835791741626,0.06903797971271299,10.569538114095991,187.9496793924601,0.07131365948225177,1.5712005537779472,0.9933333333333333
1.0,10.80833437999614,15.442214926649783,0.0,754.0,832,0.39364776318628936,93.65219343880548,752.9919708209345,0.08690775409561803,52.40499565290088,95.94324959130559,0.02631982212842382,0.4958146759737758,0.8902169101372288
1.0,10.80833437999614,15.442214926649783,0.0,499.0,832,0.39364776318628936,93.65219343880548,752.9919708209345,0.08690775409561803,52.40499565290088,95.94324959130559,0.02631982212842382,0.4958146759737758,0.8185503920443675
1.0,10.80833437999614,15.442214926649783,0.0,754.0,832,0.39364776318628936,93.65219343880548,752.9919708209345,0.08690775409561803,52.40499565290088,95.94324959130559,0.02631982212842382,0.4958146759737758,1.0
1.0,7.97618558326397,17.700673719953876,0.0,198.0,831,0.24594197776455917,17.82970942111359,94.04676092854845,9.548925064562647E-4,52.63113363488054,24.375236315068747,0.39233177980786904,0.164339305771251,0.6260443345520486
1.0,7.97618558326397,17.700673719953876,0.0,232.0,831,0.24594197776455917,17.82970942111359,94.04676092854845,9.548925064562647E-4,52.63113363488054,24.375236315068747,0.39233177980786904,0.164339305771251,0.19932978586180106
1.0,7.97618558326397,17.700673719953876,0.0,225.0,831,0.24594197776455917,17.82970942111359,94.04676092854845,9.548925064562647E-4,52.63113363488054,24.375236315068747,0.39233177980786904,0.164339305771251,0.8776651451651398
1.0,47.34023585660867,20.479677489740094,0.0,130.0,830,0.8403905966366639,56.62925166808849,120.45895672086749,0.03728182507273238,176.4219320021237,18.51380109124193,0.13623888233419273,3.229780117331769,0.9112675451434205
1.0,47.34023585660867,20.479677489740094,0.0,130.0,830,0.8403905966366639,56.62925166808849,120.45895672086749,0.03728182507273238,176.4219320021237,18.51380109124193,0.13623888233419273,3.229780117331769,0.9328055414827094
1.0,47.34023585660867,20.479677489740094,0.0,130.0,830,0.8403905966366639,56.62925166808849,120.45895672086749,0.03728182507273238,176.4219320021237,18.51380109124193,0.13623888233419273,3.229780117331769,0.9471956106421915
1.0,4.715269932219677,42.063354142467865,0.0,719.0,829,0.4771560825519401,27.47065297243961,717.2519320234417,0.04548692520713352,15.984306572748068,136.83034062481556,0.04209403886375124,2.9036527056003654,0.729619312906221
1.0,4.715269932219677,42.063354142467865,0.0,1040.0,829,0.4771560825519401,27.47065297243961,717.2519320234417,0.04548692520713352,15.984306572748068,136.83034062481556,0.04209403886375124,2.9036527056003654,0.9991115717775968
1.0,4.715269932219677,42.063354142467865,0.0,1379.0,829,0.4771560825519401,27.47065297243961,717.2519320234417,0.04548692520713352,15.984306572748068,136.83034062481556,0.04209403886375124,2.9036527056003654,0.9996129656507015
1.0,42.42878247127272,24.69987485651265,0.0,800.0,828,0.9152110565125776,16.290631547077567,686.7939245378071,0.0739569215119001,47.91922988888777,159.06356106547594,0.43452243589837336,0.4935900989762452,0.891535257258744
1.0,42.42878247127272,24.69987485651265,0.0,790.0,828,0.9152110565125776,16.290631547077567,686.7939245378071,0.0739569215119001,47.91922988888777,159.06356106547594,0.43452243589837336,0.4935900989762452,0.8086897039669982
1.0,42.42878247127272,24.69987485651265,0.0,688.0,828,0.9152110565125776,16.290631547077567,686.7939245378071,0.0739569215119001,47.91922988888777,159.06356106547594,0.43452243589837336,0.4935900989762452,0.3515312381335014
1.0,1.8600081662596963,22.96240531532706,0.0,992.0,827,0.991492686336377,12.886233782753237,990.8924781061677,0.01055337263759773,41.873377891552934,145.02383085703306,0.11839711705941464,3.948105855364024,0.9056447208463252
1.0,1.8600081662596963,22.96240531532706,0.0,1015.0,827,0.991492686336377,12.886233782753237,990.8924781061677,0.01055337263759773,41.873377891552934,145.02383085703306,0.11839711705941464,3.948105855364024,0.8183293085062271
1.0,1.8600081662596963,22.96240531532706,0.0,992.0,827,0.991492686336377,12.886233782753237,990.8924781061677,0.01055337263759773,41.873377891552934,145.02383085703306,0.11839711705941464,3.948105855364024,0.7975227775507714
0.0,39.72415978192416,14.577088548426545,1.0,2000.0,846,0.33200970726201007,25.622311186547947,867.3974586143074,1.7468913740117942E-4,139.55920639369566,56.05996775001262,0.30902734935111564,1.4965582948318583,0.9610679156105144
1.0,42.977463877869866,3.134407883002929,0.0,171.0,824,0.5938265042924341,94.7607898288333,169.7490713953597,0.06481181270089328,23.24241913177562,37.51923172543144,0.036866217606612184,0.4780410944614175,0.9957219251336898
1.0,42.977463877869866,3.134407883002929,0.0,2.0,824,0.5938265042924341,94.7607898288333,169.7490713953597,0.06481181270089328,23.24241913177562,37.51923172543144,0.036866217606612184,0.4780410944614175,0.5
